Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Any Given Sunday,1999,R,22 Dec 1999,162 min,"Drama, Sport",Oliver Stone,"Daniel Pyne, John Logan, Oliver Stone","Al Pacino, Dennis Quaid, Cameron Diaz",A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,English,United States,3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZDIyMGYxMWYtNmUyZC00N2M3LWI0ZGYtMTIwMTk3NmZiY2RkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,6.9,"129,885",tt0146838,movie,,"$75,530,832",,,tt0146838,162.0,6.9,129885.0,52.0,1999
Jeans,1998,Not Rated,24 Apr 1998,175 min,"Comedy, Drama, Romance",S. Shankar,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Nassar",The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,Tamil,India,4 wins total,https://m.media-amazon.com/images/M/MV5BYjc3ODhlZGMtZmFhOS00NGEwLWI4ZWEtZDhlZjg5MWYxZDBjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"4,124",tt0151121,movie,,,,,tt0151121,175.0,6.5,4124.0,,1998
Bill Hicks: Revelations,1993,Not Rated,14 Sep 1993,57 min,"Documentary, Comedy",Chris Bould,Bill Hicks,Bill Hicks,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",English,United Kingdom,,https://m.media-amazon.com/images/M/MV5BNDQ3NTBlYTItNDI0Ni00NzQzLWIwMzctNDY4NDFjMzc5ZjJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,"3,263",tt0152183,movie,,,,,tt0152183,57.0,8.4,3263.0,,1993
Ujala,1959,TV-14,,109 min,"Crime, Drama, Romance",Naresh Saigal,"Qamar Jalalabadi, Naresh Saigal, Manohar Singh Sehrai","Mala Sinha, Shammi Kapoor, Raaj Kumar","An impoverished male turns to crime, kills someone, tries to make a honest living but ends up becoming a suspect for theft.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BZjljOGI4MTAtZjAwNi00MTU5LTk5YTktZDA3ZjU5MDExOWExXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,88,tt0157132,movie,,,,,tt0157132,109.0,6.8,88.0,,1959
West Beirut,1998,PG-13,30 Oct 1998,105 min,"Comedy, Drama, Romance",Ziad Doueiri,Ziad Doueiri,"Rami Doueiri, Naamar Sahli, Mohamad Chamas","In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascin...","Arabic, French","France, Norway, Lebanon, Belgium",8 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNzE0NzdkMmUtNTJlOC00ZGEyLTg1MDctZjdhNDQ4MTc5YzkyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",,7.6,"4,739",tt0157183,movie,,,,,tt0157183,105.0,7.6,4739.0,,1998
Croupier,1998,Not Rated,28 Jul 2000,94 min,"Crime, Drama, Thriller",Mike Hodges,Paul Mayersberg,"Clive Owen, Nick Reding, Nicholas Ball","An aspiring writer is hired as a croupier at a casino, where he realizes that his life as a croupier would make a great novel.",English,"United Kingdom, Ireland, France, Germany",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNjMwZmExNjUtMmMyMC00YmVmLTg5MWEtNDg3OWE3MzQ0YTAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.0,"24,198",tt0159382,movie,,"$6,201,143",,,tt0159382,94.0,7.0,24198.0,75.0,1998
Mobile Suit Gundam II: Soldiers of Sorrow,1981,,11 Jul 1981,139 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","After attacks by Char and Garma, White Base crew battle Zeon forces through Asia, Europe, Atlantic on way to Federation HQ. Crewmembers like Amuro, Bright, Kai, Sayla, Mirai, Fraw, Hayato overcome fears, losses to survive.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BM2Y2MjViYzQtY2M0Yy00ZmEyLThlM2MtZWYwNjU2OTg1ZjVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"1,908",tt0159510,movie,,,,,tt0159510,139.0,7.1,1908.0,,1981
Mobile Suit Gundam III: Encounters in Space,1982,,13 Mar 1982,144 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","Amuro Ray's White Base crew, now the 13th Autonomous Corps, rejoin the Earth Federation forces in space for the climactic battle against the Duchy of Zeon's military.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BN2U4NDc1OGEtMTU4NC00YTMyLTk2OGMtYTYwM2FjNjgyY2JhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"1,839",tt0159511,movie,,,,,tt0159511,144.0,7.5,1839.0,,1982
Hollow Man,2000,R,04 Aug 2000,112 min,"Action, Horror, Sci-Fi",Paul Verhoeven,"Gary Scott Thompson, Andrew W. Marlowe","Kevin Bacon, Elisabeth Shue, Josh Brolin","A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.",English,"Germany, United States",Nominated for 1 Oscar. 7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BOWQ2OTk4YTMtNmM1Mi00YjczLWExMTktOWM1ODIyMzJmODMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24.0,5.9,"144,058",tt0164052,movie,,"$73,209,340",,,tt0164052,112.0,5.9,144058.0,24.0,2000
Under Suspicion,2000,R,15 Nov 2000,110 min,"Crime, Drama, Thriller",Stephen Hopkins,"John Wainwright, Claude Miller, Jean Herman","Morgan Freeman, Gene Hackman, Thomas Jane","A wealthy attorney in San Juan comes to the police station for ""10 minutes"" of follow-up questions to finding a 12-year-old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence point...","English, Spanish, Italian","France, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BY2QwNzRkYWYtYWNmNS00OWU5LTlhNTAtODk4NjA1YjU1MjVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,6.4,"28,123",tt0164212,movie,,"$260,562",,,tt0164212,110.0,6.4,28123.0,43.0,2000
Dil Se..,1998,Not Rated,21 Aug 1998,163 min,"Drama, Romance",Mani Ratnam,"Mani Ratnam, Sujatha, Tigmanshu Dhulia","Shah Rukh Khan, Manisha Koirala, Preity G Zinta",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,Hindi,India,12 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOGU3NGY5ZWUtMWQxOS00ZTMzLWJjNTEtMjkyZDVlY2E4OGZmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",,7.5,"32,231",tt0164538,movie,,,,,tt0164538,163.0,7.5,32231.0,,1998
Duplicate,1998,Not Rated,08 May 1998,164 min,"Action, Comedy, Crime",Mahesh Bhatt,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Juhi Chawla, Sonali Bendre","In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",Hindi,India,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BZDVkMTQ3MGItNmQxMi00NjM5LTliOTEtNjgxZTU4ZThmYmIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,"8,771",tt0164550,movie,,,,,tt0164550,164.0,5.5,8771.0,,1998
Lagaan: Once Upon a Time in India,2001,PG,15 Jun 2001,224 min,"Drama, Musical, Sport",Ashutosh Gowariker,"Ashutosh Gowariker, Kumar Dave, Sanjay Dayma","Aamir Khan, Raghubir Yadav, Gracy Singh",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Hindi, English","India, United States",Nominated for 1 Oscar. 54 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BM2FmODM4OTktOTRjOS00ZTIzLWIzZjAtMDBhOGEzYThkNzMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.0,8.1,"126,682",tt0169102,movie,,"$909,043",,,tt0169102,224.0,8.1,126682.0,84.0,2001
Beyrouth ya Beyrouth,1975,,18 Oct 2020,111 min,Drama,Maroun Bagdadi,Oussama El-Aref,"Ezzat El Alaili, Mireille Maalouf, Joseph Bou Nassar",Beirut Oh Beirut (1975) follows four young Lebanese after the defeat of Lebanon by Israeli forces in the Six Day War of 1967.,Arabic,Lebanon,,https://m.media-amazon.com/images/M/MV5BYmIwNjY5MGItZDc1MS00NTcyLWE0MjAtNjU5MjA4YzFkNGExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,142,tt0169599,movie,,,,,tt0169599,111.0,6.4,142.0,,1975
Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,17 Mar 2024,87 min,"Animation, Action, Drama","Hideaki Anno, Kazuya Tsurumaki",Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,Japanese,Japan,2 wins total,https://m.media-amazon.com/images/M/MV5BMGI2Y2RiYTctYWIwZi00NjA2LWFmYzYtZDhkNTk1ZGNmNDVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,8.1,"73,710",tt0169858,movie,,"$1,302,300",,,tt0169858,87.0,8.1,73710.0,,1997
Shikari: The Hunter,1991,,01 Jan 1991,162 min,"Action, Adventure","Latif Faiziyev, Umesh Mehra","Vinay Shukla, Nikolai Rozhkov, Ulmas Umarbekov","Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva","Shankar and Chanchal earn their living by doing road shows. Once, Shankar sees Natasha on a circus poster and dreams of working with her. He gets an offer to work in the circus in Russia","Hindi, Russian","India, Soviet Union",,https://m.media-amazon.com/images/M/MV5BNjNjZjQwMDAtMzY3Ni00NGU3LWFkMDQtYTZjMmFhZTEzM2EzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,93,tt0170416,movie,,,,,tt0170416,162.0,5.6,93.0,,1991
We Are All for the Fatherland,1979,TV-MA,18 Oct 2020,80 min,Documentary,Maroun Bagdadi,,,"After the 1979 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",French,"Lebanon, Canada, France",,https://m.media-amazon.com/images/M/MV5BYmE4YmE3NzItOTJkYS00ZjI5LTk1YTktMWI0NmQzZmE2ZmY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,73,tt0170799,movie,,,,,tt0170799,80.0,5.4,73.0,,1979
Whispers,1980,,,92 min,Documentary,Maroun Bagdadi,Maroun Bagdadi,"Nabil Ismaïl, Marcel Khalife","At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.","Arabic, French","Lebanon, Canada, France",,https://m.media-amazon.com/images/M/MV5BYTUzMjMzM2MtZWE0Yi00NjcyLWIxYjItMWUxYmFmYjMzODNhXkEyXkFqcGdeQXVyNDM1Mjc2NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,93,tt0170803,movie,,,,,tt0170803,92.0,7.6,93.0,,1980
Chaahat,1996,Not Rated,06 Jun 1996,151 min,"Drama, Romance",Mahesh Bhatt,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt","Roop and his father come to the city for medical treatment and Reshma falls in love with Roop. Roop loves Pooja, but when Reshma threatens to kill herself, Roop agrees to marry her.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BNjY1NzAxNzYtMGE1NS00NzMwLTljYzktOTE5ZWU3MDkyZTVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,"3,313",tt0172234,movie,,,,,tt0172234,151.0,5.5,3313.0,,1996
"Girl, Interrupted",1999,R,14 Jan 2000,127 min,"Biography, Drama",James Mangold,"James Mangold, Lisa Loomer, Anna Hamilton Phelan","Winona Ryder, Angelina Jolie, Clea DuVall","Directionless teenager Susanna is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There she befriends a group of troubled women who deeply influence her life.",English,"United States, Germany",Won 1 Oscar. 9 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZWVhYzdiMTQtMzJkMC00YWEwLTkyNDEtNzkwMGQ3NTBhMzExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,7.3,"226,524",tt0172493,movie,,"$28,912,646",,,tt0172493,127.0,7.3,226524.0,51.0,1999
Kuch Kuch Hota Hai,1998,Not Rated,16 Oct 1998,185 min,"Comedy, Drama, Musical",Karan Johar,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Hindi,India,32 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMmQ0ZjliZTgtMjQ3NC00N2NiLTkxNjktY2VkOTQ2N2QyODNkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,7.5,"61,359",tt0172684,movie,,"$2,100,000",,,tt0172684,185.0,7.5,61359.0,,1998
The Last Days,1998,PG-13,15 Jul 1999,87 min,"Documentary, War",James Moll,,"Bill Basch, Martin Basch, Randolph Braham","In late 1944, even as they faced imminent defeat, the Nazis expended enormous resources to kill or deport over 425,000 Jews during the ""cleansing"" of Hungary. This Oscar-winning documentary, executive produced by Steven Spielberg,...","English, German, Hungarian",United States,Won 1 Oscar. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTNmNzkwZDctM2U1Ny00MWNjLWE2OWMtYmI4MWViZDJlOWI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85.0,7.9,"5,946",tt0174852,movie,,"$421,432",,,tt0174852,87.0,7.9,5946.0,85.0,1998
Aakhri Adaalat,1988,,,148 min,"Action, Thriller",Rajiv Mehra,"Mohan Kaul, Ravi Kapoor, Javed Siddiqui","Vinod Khanna, Dimple Kapadia, Jackie Shroff",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,Hindi,India,,https://m.media-amazon.com/images/M/MV5BMWViZTZlYmEtOTMzMC00OGFjLTkzZWUtZjdmMjc2ZGJjNThiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,118,tt0177505,movie,,,,,tt0177505,148.0,5.1,118.0,,1988
Osmosis Jones,2001,PG,10 Aug 2001,95 min,"Animation, Action, Adventure","Bobby Farrelly, Peter Farrelly",Marc Hyman,"Laurence Fishburne, Chris Rock, David Hyde Pierce","A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",English,"United States, Denmark",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWRkZWE3M2YtMjI0MC00ODk2LThhYTktN2ZmM2RiMTJiZGYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.3,"40,562",tt0181739,movie,,"$13,596,911",,,tt0181739,95.0,6.3,40562.0,57.0,2001
Terminator 3: Rise of the Machines,2003,R,02 Jul 2003,109 min,"Action, Sci-Fi",Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken","John Connor must face a female Terminator with power over all the machines. But a new Terminator unit, a T-850, is sent back through time to help guide him through the coming battle.",English,"United Kingdom, Germany, United States",3 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.3,"432,929",tt0181852,movie,,"$150,371,112",,,tt0181852,109.0,6.3,432929.0,66.0,2003
#DUPE#,1968,,,,,,,,,,,,,[],,,,tt0063477,movie,,,,,tt0183686,,,,,1968
The Patriot,2000,R,28 Jun 2000,165 min,"Action, Drama, War",Roland Emmerich,Robert Rodat,"Mel Gibson, Heath Ledger, Joely Richardson",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"English, French","Germany, United States",Nominated for 3 Oscars. 9 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BYThjZWExNTItYmE5Yi00ZDE3LTk1ZDktMGJiMWUyYTc2YmFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.2,"305,970",tt0187393,movie,,"$113,330,342",,,tt0187393,165.0,7.2,305970.0,63.0,2000
Blade II,2002,R,22 Mar 2002,117 min,"Action, Horror, Sci-Fi",Guillermo del Toro,"Marv Wolfman, Gene Colan, David S. Goyer","Wesley Snipes, Kris Kristofferson, Ron Perlman","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","English, Romanian, Czech","United States, Germany",6 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMGE5ZmY2NzEtZTEyMi00MWIyLThmOWYtYzJkOTQ0Y2U3ZWU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,6.7,"246,544",tt0187738,movie,,"$82,348,319",,,tt0187738,117.0,6.7,246544.0,52.0,2002
Hitler: A Career,1977,Not Rated,08 Jul 1977,150 min,"Documentary, History","Joachim Fest, Christian Herrendoerfer",Joachim Fest,"Gert Westphal, Stephen Murray, Artur Axmann","This meticulously assembled film dissects the Third Reich with an analytical blade, charting Hitler's improbable rise, his mastery of crowd psychology and his consummate skill in exploiting others' weaknesses.",German,West Germany,,https://m.media-amazon.com/images/M/MV5BNjIxMmZkOTQtMWEzNC00OGZmLWJiOTUtMGVkNjkzNzA3Mjg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"3,191",tt0191182,movie,,,,,tt0191182,150.0,7.5,3191.0,,1977
The Replacements,2000,PG-13,11 Aug 2000,118 min,"Comedy, Sport",Howard Deutch,Vince McKewin,"Keanu Reeves, Gene Hackman, Brooke Langton","During a pro football strike, the owners hire substitute players.","English, American Sign ",United States,,https://m.media-amazon.com/images/M/MV5BMmE2ZWY5ZTUtMDAzOC00OWE3LWFlYmQtYmY2OGNiMTQyNjY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,6.6,"72,776",tt0191397,movie,,"$44,737,059",,,tt0191397,118.0,6.6,72776.0,30.0,2000
#DUPE#,1993,,,,,,,,,,,,,[],,,,tt0187096,movie,,,,,tt0192087,,,,,1993
#DUPE#,1998,,,,,,,,,,,,,[],,,,tt0120890,movie,,,,,tt0194542,,,,,1998
Zoolander,2001,R,28 Sep 2001,90 min,Comedy,Ben Stiller,"Drake Sather, Ben Stiller, John Hamburg","Ben Stiller, Owen Wilson, Christine Taylor","At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",English,"Germany, United States",1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BODI4NDY2NDM5M15BMl5BanBnXkFtZTgwNzEwOTMxMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,6.5,"311,380",tt0196229,movie,,"$45,172,250",,,tt0196229,90.0,6.5,311380.0,61.0,2001
The Other,1999,,26 May 1999,105 min,"Drama, Romance",Youssef Chahine,"Youssef Chahine, Khaled Youssef","Hanan Turk, Hani Salama, Nabila Ebeid","Egyptian director Youssef Chahine exposes the links between power and fanaticism and denounces intolerance in this bitter portrait of the Egyptian business world, where unconditional drive for money rules. Adam (Hani Salama), the ...","Arabic, French","France, Egypt",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYWE4MzJhMzUtNTcyMC00ZTdlLWJiMTktN2MxYzc5ODJkODMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",,5.9,"1,103",tt0196355,movie,,,,,tt0196355,105.0,5.9,1103.0,,1999
