Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
Vizontele,2001,N/A,02 Feb 2001,110 min,"Comedy, Drama, History","Yilmaz Erdogan, Ömer Faruk Sorak",Yilmaz Erdogan,"Yilmaz Erdogan, Demet Akbag, Altan Erkekli","Lives of residents in a small, Anatolian village change when television is introduced to them.",Turkish,Turkey,7 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZjVmYTAwYjUtNWI3ZC00YTQzLWE5NmMtYTk3YjExOTI1ZjJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"39,587",tt0270053,movie,N/A,N/A,N/A,N/A,tt0270053
Divine Intervention,2002,Not Rated,02 Oct 2002,92 min,"Drama, Romance, War",Elia Suleiman,Elia Suleiman,"Elia Suleiman, Manal Khader, George Ibrahim","Separated by a checkpoint, Palestinian lovers from Jerusalem and Ramallah arrange clandestine meetings.","Arabic, Hebrew, English","France, Morocco, Germany, Occupied Palestinian Territory",6 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTI0Mzc0MDQxN15BMl5BanBnXkFtZTcwMjc2ODkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.6,"3,994",tt0274428,movie,N/A,"$421,343",N/A,N/A,tt0274428
I Am Sam,2001,PG-13,25 Jan 2002,132 min,Drama,Jessie Nelson,"Kristine Johnson, Jessie Nelson","Sean Penn, Michelle Pfeiffer, Dakota Fanning",An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,English,United States,Nominated for 1 Oscar. 8 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BZDBmMTY1YWEtMjc4Yy00YjhhLTliZjctMzBhN2U2NzRlNDQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,7.6,"159,690",tt0277027,movie,N/A,"$40,311,852",N/A,N/A,tt0277027
Not Another Teen Movie,2001,R,14 Dec 2001,89 min,"Comedy, Romance",Joel Gallen,"Mike Bender, Adam Jay Epstein, Andrew Jacobson","Chyler Leigh, Jaime Pressly, Chris Evans",A sendup of all the teen movies that have accumulated in the past two decades.,"English, Italian",United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BNjllYzVjNjItYjQ2Ni00OGU4LTlkYjItMDYxOTBlM2YzNDA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.8,"123,556",tt0277371,movie,N/A,"$38,252,284",N/A,N/A,tt0277371
Minsaara Kanavu,1997,N/A,14 Jan 1997,153 min,"Comedy, Drama, Musical",Rajiv Menon,"Rajiv Menon (story), Sri Ramakrishna (Telugu dialogue)","Arvind Swamy, Prabhudheva, Kajol, Nasser","This is the story of Priya (Kajol) and her life. She is friendly, outspoken, sensitive, yet percocious and apt to get into trouble, brought up by her dad, Amal Raj (Girish Karnad). In her ...","Tamil, Telugu, Hindi",India,4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg5MDcxMjg4N15BMl5BanBnXkFtZTcwODE3NzQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,631,tt0282003,movie,03 Oct 2000,N/A,N/A,N/A,tt0282003
Once Upon a Time in Mexico,2003,R,12 Sep 2003,102 min,"Action, Crime, Thriller",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Johnny Depp","Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.","English, Spanish",United States,3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTU5MDg5OTcwOV5BMl5BanBnXkFtZTcwMjI1MTIzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.3,"174,213",tt0285823,movie,N/A,"$56,359,780",N/A,N/A,tt0285823
Qila,1998,Not Rated,10 Apr 1998,133 min,"Drama, Family, Music",Umesh Mehra,N/A,"Dilip Kumar, Mukul Dev, Rekha","When landowner Jagannath Singh (Dilip Kumar) is murdered, his twin brother Amarnath Singh (also Dilip Kumar) decides to investigate, and finds the list of suspects is seemingly endless. From Jagannath's own son Amar (Mukul Dev), t...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYWFiZTUwMWEtZWQ5NC00MGE5LWE0MjYtMjg3OWJhOTk3NDE2L2ltYWdlXkEyXkFqcGdeQXVyMjQ2MjgyNjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,152,tt0286907,movie,N/A,N/A,N/A,N/A,tt0286907
Monty Python's Flying Circus: Live at Aspen,1998,Not Rated,21 Mar 1998,58 min,"Documentary, Comedy",Paul Miller,Peter Crabbe,"Robert Klein, John Cleese, Terry Gilliam","This reunion show features the five surviving members of Monty Python, with Graham Chapman's ashes in attendance. The Pythons look back at their work and receive an American Film Industry award. It also features some memorable mom...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDY5YzU1N2QtNTQyOS00ZDBmLWFlMzgtYTZkNjdkZDBjMGUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"1,191",tt0287570,movie,N/A,N/A,N/A,N/A,tt0287570
Dil Chahta Hai,2001,Not Rated,10 Aug 2001,183 min,"Comedy, Drama, Romance",Farhan Akhtar,"Kassim Jagmagia, Farhan Akhtar, Karan Vishwanath Kashyap","Aamir Khan, Saif Ali Khan, Akshaye Khanna","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","Hindi, English",India,28 wins & 40 nominations,https://m.media-amazon.com/images/M/MV5BYjY4NzgzNTQtZDhiNi00ZGJiLWIzMWQtNDg3YzkyNTdkZjAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"76,921",tt0292490,movie,N/A,N/A,N/A,N/A,tt0292490
Tim Allen Rewires America,1991,Not Rated,07 Dec 1991,30 min,"Documentary, Comedy",Ellen Brown,Tim Allen,Tim Allen,"In his second Showtime stand-up comedy special taped at The Power Center for the Performing Arts in Ann Arbor, Michigan, Tim Allen proudly grunts his way through a discussion of ""men stuff.""",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYzJhOTc0OWQtYWUzMC00ZjBiLTg1MTctZTc4ZDdhNjllYTJmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,219,tt0294967,movie,N/A,N/A,N/A,N/A,tt0294967
Kyo Kii... Main Jhuth Nahin Bolta,2001,Not Rated,21 Sep 2001,131 min,"Comedy, Drama, Fantasy",David Dhawan,"David Dhawan, Imtiaz Patel, Yunus Sajawal","Govinda, Sushmita Sen, Rambha","Raj is a successful lawyer due to constant cheating and dishonesty. When his wife comes to know about this, she threatens to leave him. Fearful of his parents' divorce, Raj's son wishes that his father become unable to lie.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BM2M3MzRhM2UtNDY0Ni00MDgzLTg0NmYtYjU2YTg1OTJhOGRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"2,670",tt0297241,movie,N/A,N/A,N/A,N/A,tt0297241
The Ring,2002,PG-13,18 Oct 2002,115 min,"Horror, Mystery",Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, Martin Henderson, Brian Cox",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,English,"United States, Japan",14 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.1,"395,507",tt0298130,movie,N/A,"$129,128,133",N/A,N/A,tt0298130
Duniya,1984,Not Rated,18 Sep 1984,169 min,"Action, Drama",Ramesh Talwar,Javed Akhtar,"Ashok Kumar, Dilip Kumar, Rishi Kapoor","Framed for a crime he didn't commit, Mohan Kumar loses his wife, son, and freedom, then he emerges from prison vowing revenge.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZTNiNTZjNzMtYWQzZS00MDY5LTg5MTctNWJmNmQ5ODgxNmViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,311,tt0301231,movie,N/A,N/A,N/A,N/A,tt0301231
